,ID,Vote_time,therm_sens,mean.Temperature_60,grad.Temperature_60,sd.Temperature_60,mean.Humidity_60,grad.Humidity_60,sd.Humidity_60,mean.Winvel_60,grad.Winvel_60,sd.Winvel_60,mean.Solar_60,grad.Solar_60,sd.Solar_60,mean.hr_60,grad.hr_60,sd.hr_60,mean.WristT_60,grad.WristT_60,sd.WristT_60,mean.PantT_60,grad.PantT_60,sd.PantT_60
2975,11,5/17/2017 20:34,0.2,15.34,-0.030909091,0.531664054,64.2,0.157954545,2.740640639,0.12,0.000454545,0.193218357,8.8,-0.496969697,8.966604709,99.17662861,0.28941191,8.527412576,29.35366667,-0.008465129,0.426205038,21.90393443,0.029233739,0.698410764
2976,11,5/17/2017 21:01,0.0,14.1,-0.026,0.212132034,68.4,0.1,0.894427191,0.26,-0.034,0.397492138,0.0,0.0,0.0,87.08964955,-0.399636855,6.373255354,31.83592593,0.101916972,0.934168735,23.42814815,0.109676435,1.129571182
2978,11,5/17/2017 23:49,0.2,12.73333333,-0.004830508,0.111803399,67.33333333,0.031779661,1.224744871,0.044444444,0.003728814,0.133333333,0.0,0.0,0.0,,,,33.2235,-0.024204779,0.510306737,22.65688525,-0.027556848,0.80356817
2980,11,5/18/2017 9:45,0.3,14.39090909,0.036,0.600757098,72.36363636,-0.087272727,1.501514387,0.681818182,-0.008363636,0.321926022,581.5454545,2.530909091,42.06272373,102.0662749,0.955965921,27.30902781,30.43150943,-0.019385583,1.373473133,19.10622642,-0.021109498,1.308669651
2981,11,5/18/2017 10:50,-0.3,16.13333333,0.022061497,0.424264069,69.33333333,-0.021357164,0.707106781,0.877777778,-0.009061648,0.319287401,711.2222222,2.146357164,41.4299945,82.02680067,-0.516058849,13.9936698,32.70766667,0.018370659,0.439265051,22.32213115,-0.038926494,0.882398464
2982,11,5/18/2017 12:55,0.1,20.17272727,0.016,0.303614588,57.36363636,-0.095338346,1.80403588,1.372727273,0.013518797,0.377070044,922.9090909,0.734285714,13.20192823,80.65949367,1.278663455,14.17427063,31.2335,0.027466796,0.97422168,23.3242623,0.032734003,0.723050157
2983,11,5/18/2017 14:19,-0.2,21.12,-0.013369176,0.311982906,49.4,-0.030824373,1.173787791,1.69,0.011075269,0.296085573,937.5,-0.605734767,11.12804266,78.6075388,0.804897671,5.266568431,30.88,-0.047774382,0.866792255,21.91737705,-0.004488102,0.72540311
2984,11,5/18/2017 15:09,-0.2,20.7,-0.010571429,0.244948974,52.625,0.104285714,2.199837656,0.8375,-0.006428571,0.176776695,878.75,-1.448571429,23.1809651,74.63355705,-0.056122989,5.136402095,29.2604,-0.009059304,0.277620796,22.0582,-0.012626651,0.30258539
2986,11,5/18/2017 18:00,0.4,20.94,-0.044,0.378153408,44.8,0.44,3.768288736,0.5,0.016,0.479583152,140.8,1.56,38.64841523,112.5763889,-2.400895978,21.77277944,29.17916667,0.12446087,1.100699053,23.74333333,0.103652174,0.918096645
2988,11,5/18/2017 20:15,0.3,19.175,-0.052937063,0.957387544,54.83333333,0.251748252,4.608950449,0.325,-0.016293706,0.386417109,23.25,-0.616083916,11.12021092,105.6891365,0.05526249,11.89003057,30.38360656,-0.073711264,1.788643837,20.77786885,-0.036737176,3.266328272
2989,11,5/18/2017 21:13,0.0,17.6,0.012987013,0.286744176,58.3,-0.168398268,4.448470399,0.13,-0.010995671,0.298328678,0.0,0.0,0.0,108.8930017,0.001884133,9.00365385,32.15931034,0.021900397,1.104518411,22.86724138,-0.001895475,0.291624567
2990,11,5/18/2017 22:01,0.2,17.81,-0.012969697,0.328125992,52.2,0.157575758,2.97396107,0.04,0.003393939,0.126491106,0.0,0.0,0.0,97.85176056,-0.528764709,16.75251966,30.818125,0.092231329,1.771347193,21.5275,0.052102692,2.362475712
2991,11,5/18/2017 23:01,0.2,16.8,-0.038461538,0.732368511,60.33333333,0.254545455,4.830458915,0.208333333,0.004125874,0.38720052,0.0,0.0,0.0,78.825,-0.02599423,6.313997162,32.97733333,-0.02396499,0.538393299,24.34916667,0.004276466,0.399708757
2992,11,5/19/2017 0:22,0.2,15.80909091,0.019834586,0.415823389,66.63636364,-0.075488722,2.975658827,0.718181818,0.019157895,0.664557269,0.0,0.0,0.0,83.98154362,-0.081966317,7.338351826,32.25754098,0.016790587,0.408067216,23.94016393,0.006298784,0.205932771
2993,11,5/19/2017 10:07,0.2,19.07,0.01390681,0.249666444,62.7,0.045878136,1.059349905,0.82,0.025555556,0.487168691,636.4,2.530824373,44.63730378,92.47827976,-0.35634466,6.447609679,32.00295082,0.076937599,1.519128417,23.59180328,0.057083025,1.176869446
2994,11,5/19/2017 11:00,0.3,19.89090909,0.018909091,0.320794468,61.09090909,-0.136363636,2.30019762,0.718181818,0.006363636,0.25226249,763.0909091,2.256363636,37.48987742,84.63403852,-0.165479367,13.69405405,32.89207547,-0.023984841,0.526338435,24.72226415,-0.009430737,0.476891544
2995,11,5/19/2017 12:02,0.2,21.16666667,0.028531469,0.526279106,56.0,-0.107692308,2.0,1.025,0.005944056,0.40028399,870.0833333,1.466433566,26.61666714,73.34706374,0.045911113,4.939900822,33.20327869,0.009519831,0.281754747,25.57,0.006725013,0.204017973
2996,11,5/19/2017 13:00,0.2,23.03333333,0.045314685,0.827189473,50.91666667,-0.063636364,1.378954369,1.108333333,0.003566434,0.29063671,929.6666667,0.538461538,9.735906675,74.57288037,-0.022304013,13.32032036,33.77,-0.01445938,0.298134551,25.83551724,0.008541019,0.298017852
2997,11,5/19/2017 15:31,0.3,23.32727273,-0.01919793,0.38753299,49.09090909,-0.039327296,1.044465936,1.227272727,-0.001552393,0.161807967,848.5454545,-1.880983182,35.34222301,73.45048966,0.299419195,5.587245949,33.03967213,0.00281174,0.224068198,25.75983607,-0.002567425,0.120630176
2998,11,5/19/2017 16:01,0.2,23.16666667,0.006857143,0.121106014,47.16666667,-0.04,0.752772653,0.8,0.018285714,0.346410162,766.1666667,-2.062857143,19.40532573,72.27703456,0.061965303,7.586545236,32.749,-0.01981535,0.187861835,25.52633333,-0.01014238,0.11987014
3000,11,5/19/2017 18:03,-0.1,20.73333333,0.00013986,0.422833157,48.16666667,-0.054545455,1.585922922,1.175,-0.01965035,0.62395367,361.0,-9.215384615,177.6042588,99.32733273,0.059391517,13.88671669,30.68229508,0.033230566,0.833231447,22.85672131,0.00430037,0.60516863
3001,11,5/19/2017 19:02,0.1,20.55833333,0.00048951,0.235326981,47.25,-0.024475524,0.965307299,0.383333333,-0.012727273,0.29797295,83.5,-0.661538462,61.65667405,107.1129944,-0.178560416,11.68594892,31.68016949,0.045928697,1.041852613,22.40237288,-0.031046756,0.985701814
